Date,Symbol,Open,High,Low,Close,Volume,Volume_Millions,Year,Month,Quarter,Weekday,Month_Name
2023-12-07,MSFT,363.4995118262456,366.678147018609,361.6140451938454,366.1845703125,23118900,23.1189,2023,12,Q4,Thursday,December
2023-12-08,AAPL,192.56963798027982,194.34461894265894,192.04408867717459,194.0669708251953,53406400,53.4064,2023,12,Q4,Friday,December
2023-12-08,GOOGL,133.280756234884,135.46568368379624,133.11192251632352,134.0653533935547,32260100,32.2601,2023,12,Q4,Friday,December
2023-12-08,MSFT,364.45701385787805,369.6494197796378,363.4994739427989,369.4223937988281,20154400,20.1544,2023,12,Q4,Friday,December
2023-12-11,AAPL,191.48877730415995,191.8655919183663,189.8129630007935,191.5581817626953,60943700,60.9437,2023,12,Q4,Monday,December
2023-12-11,GOOGL,131.47321332216674,132.42662891897587,130.4601959905728,132.37696838378906,31138000,31.138,2023,12,Q4,Monday,December
2023-12-11,MSFT,363.7462797263503,366.82619337920636,361.3968499172915,366.530029296875,27708800,27.7088,2023,12,Q4,Monday,December
2023-12-12,AAPL,191.45904261144975,193.08527375940776,190.11045957675134,193.0753631591797,52696900,52.6969,2023,12,Q4,Tuesday,December
2023-12-12,GOOGL,130.90711565395327,132.08896672831054,130.3608800539224,131.6122589111328,29032800,29.0328,2023,12,Q4,Tuesday,December
2023-12-12,MSFT,366.085815070236,369.60995965587347,365.70081081484244,369.5704650878906,24838300,24.8383,2023,12,Q4,Tuesday,December
2023-12-13,AAPL,193.45214952198077,196.33772271445184,193.21417408717826,196.29806518554688,70404200,70.4042,2023,12,Q4,Wednesday,December
2023-12-13,GOOGL,132.4663908404248,132.5855640261378,130.6687912359897,131.6619415283203,30104800,30.1048,2023,12,Q4,Wednesday,December
2023-12-13,MSFT,371.1893743181654,372.7885879751983,366.00681947505166,369.5605773925781,30955500,30.9555,2023,12,Q4,Wednesday,December
2023-12-14,AAPL,196.35759757334458,197.94415626252416,194.5132119382899,196.44683837890625,66831600,66.8316,2023,12,Q4,Thursday,December
2023-12-14,GOOGL,132.46636290932295,132.80403030049175,128.8016366786629,131.03622436523438,38722400,38.7224,2023,12,Q4,Thursday,December
2023-12-14,MSFT,368.51413789626315,368.95836886141666,359.452079261526,361.22894287109375,43277500,43.2775,2023,12,Q4,Thursday,December
2023-12-15,AAPL,195.87168903034603,196.73438033852585,195.34613971264017,195.91136169433594,128538400,128.5384,2023,12,Q4,Friday,December
2023-12-15,GOOGL,130.7183982551423,132.59545115047231,130.2814098301103,131.6916961669922,50847100,50.8471,2023,12,Q4,Friday,December
2023-12-15,MSFT,362.13718664647274,367.6158752980434,361.57450204697403,365.96734619140625,78502300,78.5023,2023,12,Q4,Friday,December
2023-12-18,AAPL,194.4437708037096,194.97924583916173,192.75804576345098,194.24545288085938,55751900,55.7519,2023,12,Q4,Monday,December
2023-12-18,GOOGL,131.72151251769395,136.21054039619156,131.52287035934194,134.8697967529297,32258000,32.258,2023,12,Q4,Monday,December
2023-12-18,MSFT,364.70379841651464,368.2081805782412,363.943671095841,367.8626708984375,21802900,21.8029,2023,12,Q4,Monday,December
2023-12-19,AAPL,194.51321627661997,195.29657747183754,194.24547872327412,195.2866668701172,40714100,40.7141,2023,12,Q4,Tuesday,December
2023-12-19,GOOGL,135.90265968897415,136.52834911810746,135.14787104828332,135.71395874023438,25476800,25.4768,2023,12,Q4,Tuesday,December
2023-12-19,MSFT,366.7175631601881,368.46484375,365.0887662696819,368.46484375,20603700,20.6037,2023,12,Q4,Tuesday,December
2023-12-20,AAPL,195.24699595949082,196.0204465599507,193.1943817138672,193.1943817138672,52242800,52.2428,2023,12,Q4,Wednesday,December
