Date,Symbol,Window_Days,Window_Type,Volatility,Volatility_Pct,VaR_95,VaR_95_Pct,VaR_99,VaR_99_Pct,Skewness,Kurtosis,Excess_Kurtosis,Max_Drawdown,Max_Drawdown_Pct,Year,Month,Quarter,Risk_Level
2025-08-29,GOOGL,30,30-Day,0.21004081788089304,21.004081788089305,-0.012962103601005559,-1.296210360100556,-0.020912756636796245,-2.0912756636796246,0.3246233320365435,0.06203879657062572,-2.9379612034293743,-0.03765328096270213,-3.765328096270213,2025,8,Q3,Medium
2025-09-02,GOOGL,30,30-Day,0.20985065011142587,20.985065011142588,-0.012962103601005559,-1.296210360100556,-0.020912756636796245,-2.0912756636796246,0.3417006399541892,0.08218630410828665,-2.9178136958917134,-0.037653280962702006,-3.7653280962702005,2025,9,Q3,Medium
2025-09-03,GOOGL,30,30-Day,0.20143565146276382,20.143565146276384,-0.012962103601005559,-1.296210360100556,-0.020912756636796245,-2.0912756636796246,0.4419406789088643,0.43190675569843373,-2.5680932443015663,-0.037653280962701985,-3.7653280962701983,2025,9,Q3,Medium
2025-09-04,GOOGL,30,30-Day,0.3245422923627674,32.45422923627674,-0.012962103601005559,-1.296210360100556,-0.020912756636796245,-2.0912756636796246,2.579342816893202,9.838100204125608,6.838100204125608,-0.03765328096270211,-3.765328096270211,2025,9,Q3,Medium
2025-09-05,GOOGL,30,30-Day,0.32245984027238095,32.245984027238094,-0.012962103601005559,-1.296210360100556,-0.020912756636796245,-2.0912756636796246,2.5696211115386896,9.922811254806009,6.922811254806009,-0.03765328096270197,-3.765328096270197,2025,9,Q3,Medium
2025-09-08,GOOGL,30,30-Day,0.32261386318622065,32.261386318622066,-0.012962103601005559,-1.296210360100556,-0.020912756636796245,-2.0912756636796246,2.55874089243549,9.870101669361784,6.870101669361784,-0.03765328096270196,-3.7653280962701956,2025,9,Q3,Medium
2025-09-09,GOOGL,30,30-Day,0.3239199881619965,32.39199881619965,-0.012962103601005559,-1.296210360100556,-0.020912756636796245,-2.0912756636796246,2.567804433074111,9.822308037514935,6.822308037514935,-0.037653280962702027,-3.7653280962702027,2025,9,Q3,Medium
2025-09-10,GOOGL,30,30-Day,0.3263004254734753,32.63004254734753,-0.012962103601005559,-1.296210360100556,-0.020912756636796245,-2.0912756636796246,2.396988064431957,8.965369864331455,5.965369864331455,-0.03765328096270201,-3.7653280962702014,2025,9,Q3,Medium
2025-09-11,GOOGL,30,30-Day,0.32628223110640225,32.62822311064023,-0.012962103601005559,-1.296210360100556,-0.020912756636796245,-2.0912756636796246,2.486608909828615,9.30236369170091,6.30236369170091,-0.03765328096270205,-3.765328096270205,2025,9,Q3,Medium
2025-09-12,GOOGL,30,30-Day,0.3262150344755447,32.62150344755447,-0.012962103601005559,-1.296210360100556,-0.020912756636796245,-2.0912756636796246,2.482840728745818,9.293646579441239,6.293646579441239,-0.02246194230793857,-2.246194230793857,2025,9,Q3,Medium
2025-09-15,GOOGL,30,30-Day,0.31363732495831004,31.363732495831005,-0.010407135692726721,-1.0407135692726721,-0.013485644261031843,-1.3485644261031844,2.791666474600415,10.64181710198468,7.64181710198468,-0.02246194230793878,-2.2461942307938783,2025,9,Q3,Medium
